"Month starting","dataset 1","dataset 2"
"1 Jan 2023",,56
"1 Feb 2023",,52
"1 Mar 2023",,76
"1 Apr 2023",,86
"1 May 2023",,46
"1 Jun 2023",,28
"1 Jul 2023",,30
"1 Aug 2023",,29
"1 Sep 2023",,38
"1 Oct 2023",,34
"1 Nov 2023",,34
"1 Dec 2023",,28
"1 Jan 2024",,
"1 Feb 2024",,
"1 Mar 2024",,
"1 Apr 2024",,
"1 May 2024",,
"1 Jun 2024",,
"1 Jul 2024",,
"1 Aug 2024",,
"1 Sep 2024",,
"1 Oct 2024",,
"1 Nov 2024",,
"1 Dec 2024",,
