dataset,value,month
Getötete,428,2009-05-01
Getötete (vorläufige Daten),,2009-05-01
Getötete,564,2009-06-01
Getötete (vorläufige Daten),,2009-06-01
Getötete,431,2009-07-01
Getötete (vorläufige Daten),,2009-07-01
Getötete,653,2009-08-01
Getötete (vorläufige Daten),,2009-08-01
Getötete,352,2009-09-01
Getötete (vorläufige Daten),,2009-09-01
Getötete,441,2009-10-01
Getötete (vorläufige Daten),,2009-10-01
Getötete,226,2009-11-01
Getötete (vorläufige Daten),,2009-11-01
Getötete,478,2009-12-01
Getötete (vorläufige Daten),,2009-12-01
Getötete,267,2010-01-01
Getötete (vorläufige Daten),,2010-01-01
Getötete,305,2010-02-01
Getötete (vorläufige Daten),,2010-02-01
Getötete,336,2010-03-01
Getötete (vorläufige Daten),,2010-03-01
Getötete,385,2010-04-01
Getötete (vorläufige Daten),,2010-04-01
Getötete,387,2010-05-01
Getötete (vorläufige Daten),,2010-05-01
Getötete,385,2010-06-01
Getötete (vorläufige Daten),,2010-06-01
Getötete,488,2010-07-01
Getötete (vorläufige Daten),,2010-07-01
Getötete,520,2010-08-01
Getötete (vorläufige Daten),,2010-08-01
Getötete,254,2010-09-01
Getötete (vorläufige Daten),,2010-09-01
Getötete,315,2010-10-01
Getötete (vorläufige Daten),,2010-10-01
Getötete,307,2010-11-01
Getötete (vorläufige Daten),,2010-11-01
Getötete,218,2010-12-01
Getötete (vorläufige Daten),,2010-12-01
Getötete,389,2011-01-01
Getötete (vorläufige Daten),,2011-01-01
Getötete,254,2011-02-01
Getötete (vorläufige Daten),,2011-02-01
Getötete,311,2011-03-01
Getötete (vorläufige Daten),,2011-03-01
Getötete,289,2011-04-01
Getötete (vorläufige Daten),,2011-04-01
Getötete,381,2011-05-01
Getötete (vorläufige Daten),,2011-05-01
Getötete,386,2011-06-01
Getötete (vorläufige Daten),,2011-06-01
Getötete,308,2011-07-01
Getötete (vorläufige Daten),,2011-07-01
Getötete,401,2011-08-01
Getötete (vorläufige Daten),,2011-08-01
Getötete,397,2011-09-01
Getötete (vorläufige Daten),,2011-09-01
Getötete,366,2011-10-01
Getötete (vorläufige Daten),,2011-10-01
Getötete,288,2011-11-01
Getötete (vorläufige Daten),,2011-11-01
Getötete,392,2011-12-01
Getötete (vorläufige Daten),,2011-12-01
Getötete,531,2012-01-01
Getötete (vorläufige Daten),,2012-01-01
Getötete,356,2012-02-01
